entry_date,exit_date,entry,exit,qty,reason,pnl,symbol,strategy
2022-01-14,2022-01-24,1148.15,1102.47,218,Stop loss,-10448.95,RELIANCE,ema_crossover
2022-03-23,2022-04-21,1142.71,1258.96,170,Target,19354.32,RELIANCE,ema_crossover
2022-08-12,2022-09-23,1173.19,1129.17,201,Exit signal,-9310.77,RELIANCE,ema_crossover
2022-11-07,2023-01-05,1177.34,1146.67,216,Exit signal,-7127.11,RELIANCE,ema_crossover
2023-05-03,2023-07-03,1111.0,1178.11,295,Target,19123.21,RELIANCE,ema_crossover
2023-11-30,2023-12-15,1183.08,1234.92,390,Target,19273.08,RELIANCE,ema_crossover
2024-05-27,2024-05-30,1462.59,1412.52,205,Stop loss,-10852.27,RELIANCE,ema_crossover
2024-06-10,2024-08-09,1452.43,1442.6,140,Exit signal,-1781.68,RELIANCE,ema_crossover
2024-08-30,2024-09-06,1520.87,1472.93,212,Stop loss,-10797.78,RELIANCE,ema_crossover
2025-03-26,2025-04-02,1279.95,1235.21,225,Stop loss,-10631.31,RELIANCE,ema_crossover
2025-04-23,2025-04-30,1285.9,1399.66,175,Target,19439.66,RELIANCE,ema_crossover
2025-10-23,2025-11-26,1468.21,1554.19,236,Target,19577.47,RELIANCE,ema_crossover
2026-05-07,2026-05-12,1432.18,1370.14,166,Stop loss,-10763.74,RELIANCE,ema_crossover
